command	flag	method	url	field	control	emptied	verdict	answer
allow artifact	--artifact-type	PUT	http://localhost:8001/api/v2/allowlists/docs-cmd-test-user-shared/probe-allow-artifact-artifact-type-set-en				no field	the flag changes no field of the payload
allow artifact	--dry-run						nothing to read	the run with the flag set sent no request
allow artifact	--environment	PUT	http://localhost:8001/api/v2/allowlists/docs-cmd-test-user-shared/probe-allow-artifact-environment-set-en				no field	the flag changes no field of the payload
allow artifact	--exclude	PUT	http://localhost:8001/api/v2/allowlists/docs-cmd-test-user-shared/probe-allow-artifact-exclude-set-en				no field	the flag changes no field of the payload
allow artifact	--fingerprint	PUT	http://localhost:8001/api/v2/allowlists/docs-cmd-test-user-shared/probe-allow-artifact-fingerprint-set-en				no field	the flag changes no field of the payload
allow artifact	--reason	PUT	http://localhost:8001/api/v2/allowlists/docs-cmd-test-user-shared/probe-allow-artifact-reason-set-en				no field	the flag changes no field of the payload
allow artifact	--registry-password						nothing to read	the run with the flag set sent no request
allow artifact	--registry-provider	PUT	http://localhost:8001/api/v2/allowlists/docs-cmd-test-user-shared/probe-allow-artifact-registry-provider-set-en				no field	the flag changes no field of the payload
allow artifact	--registry-username						nothing to read	the run with the flag set sent no request
archive attestation-type	--dry-run						nothing to read	the run with the flag set sent no request
archive control	--dry-run						nothing to read	the run with the flag set sent no request
archive environment	--dry-run						nothing to read	the run with the flag set sent no request
archive flow	--api-token						nothing to read	the run with the flag set sent no request
archive flow	--config-file						nothing to read	the run with the flag set sent no request
archive flow	--debug						nothing to read	the run with the flag set sent no request
archive flow	--dry-run						nothing to read	the run with the flag set sent no request
archive flow	--host						nothing to read	the run with the flag set sent no request
archive flow	--http-proxy						nothing to read	the run with the flag set sent no request
archive flow	--max-api-retries						nothing to read	the run with the flag set sent no request
archive flow	--org						nothing to read	the run with the flag set sent no request
archive flow	--quiet						nothing to read	the run with the flag set sent no request
assert artifact	--artifact-type						nothing to read	the run with the flag set sent no request
assert artifact	--dry-run						nothing to read	the run with the flag set sent no request
assert artifact	--environment						nothing to read	the run with the flag set sent no request
assert artifact	--exclude						nothing to read	the run with the flag set sent no request
assert artifact	--fingerprint						nothing to read	the run with the flag set sent no request
assert artifact	--flow						nothing to read	the run with the flag set sent no request
assert artifact	--output						nothing to read	the run with the flag set sent no request
assert artifact	--policy						nothing to read	the run with the flag set sent no request
assert artifact	--registry-password						nothing to read	the run with the flag set sent no request
assert artifact	--registry-provider						nothing to read	the run with the flag set sent no request
assert artifact	--registry-username						nothing to read	the run with the flag set sent no request
assert snapshot	--dry-run						nothing to read	the run with the flag set sent no request
attach-policy	--dry-run						nothing to read	the run with the flag set sent no request
attach-policy	--environment	POST	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-attach-policy-environment-set-en/policies				no field	the flag changes no field of the payload
attest artifact	--annotate						nothing to read	the run with the flag set sent no request
attest artifact	--artifact-type	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-artifact-type-set-fl	filename	201	201	the server accepts it	{"message":"OK"}
attest artifact	--build-url	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-build-url-set-fl				no field	the flag changes no field of the payload
attest artifact	--commit	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-commit-set-fl				no field	the flag changes no field of the payload
attest artifact	--commit-url	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-commit-url-set-fl				no field	the flag changes no field of the payload
attest artifact	--display-name	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-display-name-set-fl	filename	201	201	the server accepts it	{"message":"OK"}
attest artifact	--dry-run						nothing to read	the run with the flag set sent no request
attest artifact	--exclude	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-exclude-set-fl				no field	the flag changes no field of the payload
attest artifact	--external-fingerprint						nothing to read	the run with the flag set sent no request
attest artifact	--external-url						nothing to read	the run with the flag set sent no request
attest artifact	--fingerprint	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-fingerprint-set-fl				no field	the flag changes no field of the payload
attest artifact	--flow	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-flow-set-fl				no field	the flag changes no field of the payload
attest artifact	--name	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-name-set-fl				no field	the flag changes no field of the payload
attest artifact	--redact-commit-info						nothing to read	the run with the flag set sent no request
attest artifact	--registry-password						nothing to read	the run with the flag set sent no request
attest artifact	--registry-provider	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-registry-provider-set-fl				no field	the flag changes no field of the payload
attest artifact	--registry-username						nothing to read	the run with the flag set sent no request
attest artifact	--repo-id	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-repo-id-set-fl				no field	the flag changes no field of the payload
attest artifact	--repo-provider						nothing to read	the run with the flag set sent no request
attest artifact	--repo-root	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-repo-root-set-fl				no field	the flag changes no field of the payload
attest artifact	--repo-url						nothing to read	the run with the flag set sent no request
attest artifact	--repository	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-repository-set-fl				no field	the flag changes no field of the payload
attest artifact	--trail	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-attest-artifact-trail-set-fl				no field	the flag changes no field of the payload
attest custom	--annotate						nothing to read	the run with the flag set sent no request
attest custom	--artifact-type						nothing to read	the run with the flag set sent no request
attest custom	--attachments						nothing to read	the run with the flag set sent no request
attest custom	--attestation-data	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-attestation-data-set-fl/trail/probe-attest-custom-attestation-data-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--commit	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-commit-set-fl/trail/probe-attest-custom-commit-set-tr/custom	git_commit_info	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest custom	--description	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-description-set-fl/trail/probe-attest-custom-description-set-tr/custom	description	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest custom	--dry-run						nothing to read	the run with the flag set sent no request
attest custom	--exclude	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-exclude-set-fl/trail/probe-attest-custom-exclude-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--external-fingerprint						nothing to read	the run with the flag set sent no request
attest custom	--external-url						nothing to read	the run with the flag set sent no request
attest custom	--fingerprint	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-fingerprint-set-fl/trail/probe-attest-custom-fingerprint-set-tr/custom	artifact_fingerprint	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest custom	--flow	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-flow-set-fl/trail/probe-attest-custom-flow-set-tr/custom				no field	the flag changes no field of the payload
