command	flag	empty_exit	omitted_exit	set_exit	refused_by	vs_omitted	vs_set	seconds	gave_up	message
allow artifact	--artifact-type	0	0	0		same	same	0.4		artifact aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa was allow listed in environment: probe-allow-artifact-artifact-type-en
allow artifact	--dry-run	1	0	0	cli	differs	differs	0.3		Error: flag '--dry-run' was given an empty value
allow artifact	--environment	1	1	0	cli	differs	differs	0.3		Error: [kosli allow artifact] flag '--environment' is required, but empty string was provided
allow artifact	--exclude	0	0	0		same	same	0.3		artifact aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa was allow listed in environment: probe-allow-artifact-exclude-en
allow artifact	--fingerprint	1	1	0	cli	same	differs	0.3		Error: [kosli allow artifact] either --artifact-type or --fingerprint must be specified
allow artifact	--reason	1	1	0	cli	differs	differs	0.3		Error: [kosli allow artifact] flag '--reason' is required, but empty string was provided
allow artifact	--registry-password	0	0	1		same	differs	0.3		artifact aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa was allow listed in environment: probe-allow-artifact-registry-password-en
allow artifact	--registry-provider	0	0	0		differs	same	0.3		Flag --registry-provider has been deprecated, no longer used
allow artifact	--registry-username	0	0	1		same	differs	0.3		artifact aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa was allow listed in environment: probe-allow-artifact-registry-username-en
archive attestation-type	--dry-run	1	0	0	cli	differs	differs	0.4		Error: flag '--dry-run' was given an empty value
archive control	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
archive environment	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
archive flow	--api-token	1	0	1	cli	differs	differs	0.2		Error: [kosli archive flow] --api-token is not set
archive flow	--config-file	0	0	0		same	same	0.2		flow probe-archive-flow-config-file-fl was archived
archive flow	--debug	1	0	0	cli	differs	differs	0.2		Error: flag '--debug' was given an empty value
archive flow	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
archive flow	--host	1	0	1	cli	differs	differs	0.2		Error: [kosli archive flow] Put "api/v2/flows/docs-cmd-test-user-shared/probe-archive-flow-host-fl/archive": PUT api/v2/flows/docs-cmd-test-user-shared/probe-ar
archive flow	--http-proxy	0	0	1		same	differs	7.2	set	flow probe-archive-flow-http-proxy-fl was archived
archive flow	--max-api-retries	1	0	1	cli	differs	differs	0.2		Error: [kosli archive flow] invalid argument "" for "-r, --max-api-retries" flag: strconv.ParseInt: parsing "": invalid syntax
archive flow	--org	1	0	1	cli	differs	differs	0.2		Error: [kosli archive flow] --org is not set
archive flow	--quiet	1	0	0	cli	differs	differs	0.2		Error: flag '--quiet' was given an empty value
assert artifact	--artifact-type	0	0	0		same	same	0.4		COMPLIANT
assert artifact	--dry-run	1	0	0	cli	differs	differs	0.3		Error: flag '--dry-run' was given an empty value
assert artifact	--environment	0	0	1		same	differs	0.4		COMPLIANT
assert artifact	--exclude	0	0	0		same	same	0.4		COMPLIANT
assert artifact	--fingerprint	1	1	0	cli	same	differs	0.3		Error: [kosli assert artifact] either --artifact-type or --fingerprint must be specified
assert artifact	--flow	0	0	0		same	differs	0.4		COMPLIANT
assert artifact	--output	1	0	0	cli	differs	differs	0.4		Error: [kosli assert artifact] unsupported output format:
assert artifact	--policy	0	0	1		same	differs	0.4		COMPLIANT
assert artifact	--registry-password	0	0	1		same	differs	0.4		COMPLIANT
assert artifact	--registry-provider	0	0	0		differs	same	0.4		Flag --registry-provider has been deprecated, no longer used
assert artifact	--registry-username	0	0	1		same	differs	0.4		COMPLIANT
assert pullrequest azure	--azure-org-url	1	1	1	cli	differs	differs	0.1		Error: [kosli assert pullrequest azure] flag '--azure-org-url' is required, but empty string was provided
assert pullrequest azure	--azure-token	1	1	1	cli	differs	differs	0.1		Error: [kosli assert pullrequest azure] flag '--azure-token' is required, but empty string was provided
assert pullrequest azure	--commit	1	1	1	cli	same	same	0.1		Error: [kosli assert pullrequest azure] Options "probe-azure-org-url/_apis": unsupported protocol scheme ""
assert pullrequest azure	--dry-run	1	1	0	cli	differs	differs	0.0		Error: flag '--dry-run' was given an empty value
assert pullrequest azure	--project	1	1	1	cli	differs	differs	0.0		Error: [kosli assert pullrequest azure] flag '--project' is required, but empty string was provided
assert pullrequest azure	--repository	1	1	1	cli	same	same	0.1		Error: [kosli assert pullrequest azure] Options "probe-azure-org-url/_apis": unsupported protocol scheme ""
assert pullrequest bitbucket	--bitbucket-access-token	1	1	1	cli	differs	same	0.6		Error: [kosli assert pullrequest bitbucket] only one of --bitbucket-username, --bitbucket-access-token is allowed
assert pullrequest bitbucket	--bitbucket-password	1	1	1	cli	differs	same	0.6		Error: [kosli assert pullrequest bitbucket] unexpected end of JSON input
assert pullrequest bitbucket	--bitbucket-username	1	1	1	cli	differs	same	0.7		Error: [kosli assert pullrequest bitbucket] unexpected end of JSON input
assert pullrequest bitbucket	--bitbucket-workspace	1	1	1	cli	differs	differs	0.3		Error: [kosli assert pullrequest bitbucket] flag '--bitbucket-workspace' is required, but empty string was provided
assert pullrequest bitbucket	--commit	1	1	1	cli	same	same	0.9		Error: [kosli assert pullrequest bitbucket] unexpected end of JSON input
assert pullrequest bitbucket	--dry-run	1	1	0	cli	differs	differs	1.1		Error: flag '--dry-run' was given an empty value
assert pullrequest bitbucket	--repository	1	1	1	cli	same	same	0.8		Error: [kosli assert pullrequest bitbucket] unexpected end of JSON input
assert pullrequest github	--commit	1	1	1	cli	same	same	0.6		Error: [kosli assert pullrequest github] non-200 OK status code: 401 Unauthorized body: "{\r\n  \"message\": \"Bad credentials\",\r\n  \"documentation_url\": \"
assert pullrequest github	--dry-run	1	1	0	cli	differs	differs	0.4		Error: flag '--dry-run' was given an empty value
assert pullrequest github	--github-base-url	1	1	1	cli	same	differs	0.5		Error: [kosli assert pullrequest github] non-200 OK status code: 401 Unauthorized body: "{\r\n  \"message\": \"Bad credentials\",\r\n  \"documentation_url\": \"
assert pullrequest github	--github-org	1	1	1	cli	same	same	0.7		Error: [kosli assert pullrequest github] non-200 OK status code: 401 Unauthorized body: "{\r\n  \"message\": \"Bad credentials\",\r\n  \"documentation_url\": \"
assert pullrequest github	--github-token	1	1	1	cli	differs	differs	0.2		Error: [kosli assert pullrequest github] flag '--github-token' is required, but empty string was provided
assert pullrequest github	--repository	1	1	1	cli	same	same	0.6		Error: [kosli assert pullrequest github] non-200 OK status code: 401 Unauthorized body: "{\r\n  \"message\": \"Bad credentials\",\r\n  \"documentation_url\": \"
assert pullrequest gitlab	--commit	1	1	1	cli	differs	differs	0.1		Error: [kosli assert pullrequest gitlab] failed to list merge requests for commit : 404 Not Found
assert pullrequest gitlab	--dry-run	1	1	0	cli	differs	differs	0.1		Error: flag '--dry-run' was given an empty value
assert pullrequest gitlab	--gitlab-base-url	1	1	1	cli	same	differs	0.8		Error: [kosli assert pullrequest gitlab] failed to list merge requests for commit 96744b69f9d1a4032e531ce4cf13554cbf3a1368: GET https://gitlab.com/api/v4/projec
