command	flag	empty_exit	omitted_exit	set_exit	refused_by	vs_omitted	vs_set	seconds	gave_up	message
allow artifact	--artifact-type	1	0	0	cli	differs	differs	0.5		Error: [kosli allow artifact] flag '--artifact-type' was given an empty value
allow artifact	--dry-run	1	0	0	cli	differs	differs	0.4		Error: flag '--dry-run' was given an empty value
allow artifact	--environment	1	1	0	cli	differs	differs	0.3		Error: [kosli allow artifact] flag '--environment' was given an empty value
allow artifact	--exclude	1	0	0	cli	differs	differs	0.4		Error: [kosli allow artifact] flag '--exclude' was given an empty value
allow artifact	--fingerprint	1	1	0	cli	differs	differs	0.4		Error: [kosli allow artifact] flag '--fingerprint' was given an empty value
allow artifact	--reason	1	1	0	cli	differs	differs	0.3		Error: [kosli allow artifact] flag '--reason' was given an empty value
allow artifact	--registry-password	1	0	1	cli	differs	differs	0.3		Error: [kosli allow artifact] flag '--registry-password' was given an empty value
allow artifact	--registry-provider	1	0	0	cli	differs	differs	0.4		Flag --registry-provider has been deprecated, no longer used
allow artifact	--registry-username	1	0	1	cli	differs	differs	0.4		Error: [kosli allow artifact] flag '--registry-username' was given an empty value
archive attestation-type	--dry-run	1	0	0	cli	differs	differs	0.3		Error: flag '--dry-run' was given an empty value
archive control	--dry-run	1	0	0	cli	differs	differs	0.3		Error: flag '--dry-run' was given an empty value
archive environment	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
archive flow	--api-token	1	0	0	cli	differs	differs	0.3		Error: [kosli archive flow] flag '--api-token' was given an empty value
archive flow	--config-file	1	0	0	cli	differs	differs	0.2		Error: [kosli archive flow] flag '--config-file' was given an empty value
archive flow	--debug	1	0	0	cli	differs	differs	0.3		Error: flag '--debug' was given an empty value
archive flow	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
archive flow	--host	1	0	0	cli	differs	differs	0.2		Error: [kosli archive flow] flag '--host' was given an empty value
archive flow	--http-proxy	1	0	1	cli	differs	differs	7.3	set	Error: [kosli archive flow] flag '--http-proxy' was given an empty value
archive flow	--max-api-retries	1	0	0	cli	differs	differs	0.2		Error: [kosli archive flow] invalid argument "" for "-r, --max-api-retries" flag: strconv.ParseInt: parsing "": invalid syntax
archive flow	--org	1	0	0	cli	differs	differs	0.2		Error: [kosli archive flow] flag '--org' was given an empty value
archive flow	--quiet	1	0	0	cli	differs	differs	0.2		Error: flag '--quiet' was given an empty value
assert artifact	--artifact-type	1	0	0	cli	differs	differs	0.6		Error: [kosli assert artifact] flag '--artifact-type' was given an empty value
assert artifact	--dry-run	1	0	0	cli	differs	differs	0.5		Error: flag '--dry-run' was given an empty value
assert artifact	--environment	1	0	0	cli	differs	differs	0.6		Error: [kosli assert artifact] flag '--environment' was given an empty value
assert artifact	--exclude	1	0	0	cli	differs	differs	0.6		Error: [kosli assert artifact] flag '--exclude' was given an empty value
assert artifact	--fingerprint	1	1	0	cli	differs	differs	0.6		Error: [kosli assert artifact] flag '--fingerprint' was given an empty value
assert artifact	--flow	1	0	0	cli	differs	differs	0.6		Error: [kosli assert artifact] flag '--flow' was given an empty value
assert artifact	--output	1	0	0	cli	differs	differs	0.6		Error: [kosli assert artifact] flag '--output' was given an empty value
assert artifact	--policy	1	0	0	cli	differs	differs	0.7		Error: [kosli assert artifact] flag '--policy' was given an empty value
assert artifact	--registry-password	1	0	1	cli	differs	differs	0.6		Error: [kosli assert artifact] flag '--registry-password' was given an empty value
assert artifact	--registry-provider	1	0	0	cli	differs	differs	0.6		Flag --registry-provider has been deprecated, no longer used
assert artifact	--registry-username	1	0	1	cli	differs	differs	0.5		Error: [kosli assert artifact] flag '--registry-username' was given an empty value
